,waktu,status hujan
168,2016-01-08 00:30:00,0.0
169,2016-01-08 01:30:00,0.0
170,2016-01-08 02:30:00,0.0
171,2016-01-08 03:30:00,0.0
172,2016-01-08 04:30:00,0.0
173,2016-01-08 05:30:00,0.0
174,2016-01-08 06:30:00,0.0
175,2016-01-08 07:30:00,0.0
176,2016-01-08 08:30:00,0.0
177,2016-01-08 09:30:00,0.0
178,2016-01-08 10:30:00,0.0
179,2016-01-08 11:30:00,0.0
180,2016-01-08 12:30:00,0.0
181,2016-01-08 13:30:00,0.0
182,2016-01-08 14:30:00,0.0
183,2016-01-08 15:30:00,0.0
184,2016-01-08 16:30:00,0.0
185,2016-01-08 17:30:00,0.0
186,2016-01-08 18:30:00,0.0
187,2016-01-08 19:30:00,0.0
188,2016-01-08 20:30:00,0.0
189,2016-01-08 21:30:00,0.0
190,2016-01-08 22:30:00,0.0
191,2016-01-08 23:30:00,0.0
192,2016-01-09 00:30:00,0.0
193,2016-01-09 01:30:00,0.0
194,2016-01-09 02:30:00,0.0
195,2016-01-09 03:30:00,0.0
196,2016-01-09 04:30:00,0.0
197,2016-01-09 05:30:00,0.0
198,2016-01-09 06:30:00,0.0
199,2016-01-09 07:30:00,0.0
200,2016-01-09 08:30:00,0.0
201,2016-01-09 09:30:00,0.0
202,2016-01-09 10:30:00,0.0
203,2016-01-09 11:30:00,0.0
204,2016-01-09 12:30:00,0.0
205,2016-01-09 13:30:00,0.0
206,2016-01-09 14:30:00,0.0
207,2016-01-09 15:30:00,0.0
208,2016-01-09 16:30:00,0.0
209,2016-01-09 17:30:00,0.0
210,2016-01-09 18:30:00,0.0
211,2016-01-09 19:30:00,0.0
212,2016-01-09 20:30:00,0.0
213,2016-01-09 21:30:00,0.0
214,2016-01-09 22:30:00,0.0
215,2016-01-09 23:30:00,0.0
216,2016-01-10 00:30:00,0.0
217,2016-01-10 01:30:00,0.0
218,2016-01-10 02:30:00,0.0
219,2016-01-10 03:30:00,0.0
220,2016-01-10 04:30:00,0.0
221,2016-01-10 05:30:00,0.0
222,2016-01-10 06:30:00,0.0
223,2016-01-10 07:30:00,0.0
224,2016-01-10 08:30:00,1.0
225,2016-01-10 09:30:00,1.0
226,2016-01-10 10:30:00,0.0
227,2016-01-10 11:30:00,0.0
228,2016-01-10 12:30:00,0.0
229,2016-01-10 13:30:00,0.0
230,2016-01-10 14:30:00,0.0
231,2016-01-10 15:30:00,0.0
232,2016-01-10 16:30:00,0.0
233,2016-01-10 17:30:00,0.0
234,2016-01-10 18:30:00,0.0
235,2016-01-10 19:30:00,0.0
236,2016-01-10 20:30:00,0.0
237,2016-01-10 21:30:00,0.0
238,2016-01-10 22:30:00,0.0
239,2016-01-10 23:30:00,0.0
240,2016-01-11 00:30:00,0.0
241,2016-01-11 01:30:00,0.0
242,2016-01-11 02:30:00,0.0
243,2016-01-11 03:30:00,0.0
244,2016-01-11 04:30:00,0.0
245,2016-01-11 05:30:00,0.0
246,2016-01-11 06:30:00,0.0
247,2016-01-11 07:30:00,0.0
248,2016-01-11 08:30:00,0.0
249,2016-01-11 09:30:00,0.0
250,2016-01-11 10:30:00,1.0
251,2016-01-11 11:30:00,0.0
252,2016-01-11 12:30:00,0.0
253,2016-01-11 13:30:00,0.0
254,2016-01-11 14:30:00,0.0
255,2016-01-11 15:30:00,0.0
256,2016-01-11 16:30:00,0.0
257,2016-01-11 17:30:00,0.0
258,2016-01-11 18:30:00,0.0
259,2016-01-11 19:30:00,0.0
260,2016-01-11 20:30:00,0.0
261,2016-01-11 21:30:00,0.0
262,2016-01-11 22:30:00,0.0
263,2016-01-11 23:30:00,0.0
264,2016-01-12 00:30:00,0.0
265,2016-01-12 01:30:00,0.0
266,2016-01-12 02:30:00,0.0
267,2016-01-12 03:30:00,0.0
268,2016-01-12 04:30:00,0.0
269,2016-01-12 05:30:00,0.0
270,2016-01-12 06:30:00,0.0
271,2016-01-12 07:30:00,0.0
272,2016-01-12 08:30:00,0.0
273,2016-01-12 09:30:00,0.0
274,2016-01-12 10:30:00,1.0
275,2016-01-12 11:30:00,1.0
276,2016-01-12 12:30:00,0.0
277,2016-01-12 13:30:00,0.0
278,2016-01-12 14:30:00,0.0
279,2016-01-12 15:30:00,0.0
280,2016-01-12 16:30:00,0.0
281,2016-01-12 17:30:00,0.0
282,2016-01-12 18:30:00,0.0
283,2016-01-12 19:30:00,0.0
284,2016-01-12 20:30:00,0.0
285,2016-01-12 21:30:00,0.0
286,2016-01-12 22:30:00,0.0
287,2016-01-12 23:30:00,0.0
288,2016-01-13 00:30:00,0.0
289,2016-01-13 01:30:00,0.0
290,2016-01-13 02:30:00,0.0
291,2016-01-13 03:30:00,0.0
292,2016-01-13 04:30:00,0.0
293,2016-01-13 05:30:00,0.0
294,2016-01-13 06:30:00,0.0
295,2016-01-13 07:30:00,0.0
296,2016-01-13 08:30:00,0.0
297,2016-01-13 09:30:00,0.0
298,2016-01-13 10:30:00,1.0
299,2016-01-13 11:30:00,1.0
300,2016-01-13 12:30:00,0.0
301,2016-01-13 13:30:00,0.0
302,2016-01-13 14:30:00,0.0
303,2016-01-13 15:30:00,0.0
304,2016-01-13 16:30:00,0.0
305,2016-01-13 17:30:00,0.0
306,2016-01-13 18:30:00,0.0
307,2016-01-13 19:30:00,0.0
308,2016-01-13 20:30:00,0.0
309,2016-01-13 21:30:00,0.0
310,2016-01-13 22:30:00,0.0
311,2016-01-13 23:30:00,0.0
312,2016-01-14 00:30:00,0.0
313,2016-01-14 01:30:00,0.0
314,2016-01-14 02:30:00,0.0
315,2016-01-14 03:30:00,0.0
316,2016-01-14 04:30:00,0.0
317,2016-01-14 05:30:00,0.0
318,2016-01-14 06:30:00,0.0
319,2016-01-14 07:30:00,0.0
320,2016-01-14 08:30:00,0.0
321,2016-01-14 09:30:00,0.0
322,2016-01-14 10:30:00,0.0
323,2016-01-14 11:30:00,0.0
324,2016-01-14 12:30:00,0.0
325,2016-01-14 13:30:00,0.0
326,2016-01-14 14:30:00,0.0
327,2016-01-14 15:30:00,0.0
328,2016-01-14 16:30:00,0.0
329,2016-01-14 17:30:00,0.0
330,2016-01-14 18:30:00,0.0
331,2016-01-14 19:30:00,0.0
332,2016-01-14 20:30:00,0.0
333,2016-01-14 21:30:00,0.0
334,2016-01-14 22:30:00,0.0
335,2016-01-14 23:30:00,0.0
336,2016-01-15 00:30:00,0.0
337,2016-01-15 01:30:00,0.0
338,2016-01-15 02:30:00,0.0
339,2016-01-15 03:30:00,0.0
340,2016-01-15 04:30:00,0.0
341,2016-01-15 05:30:00,0.0
342,2016-01-15 06:30:00,1.0
343,2016-01-15 07:30:00,1.0
344,2016-01-15 08:30:00,0.0
345,2016-01-15 09:30:00,1.0
346,2016-01-15 10:30:00,0.0
347,2016-01-15 11:30:00,0.0
348,2016-01-15 12:30:00,0.0
349,2016-01-15 13:30:00,0.0
350,2016-01-15 14:30:00,0.0
351,2016-01-15 15:30:00,0.0
352,2016-01-15 16:30:00,0.0
353,2016-01-15 17:30:00,0.0
354,2016-01-15 18:30:00,0.0
355,2016-01-15 19:30:00,0.0
356,2016-01-15 20:30:00,0.0
357,2016-01-15 21:30:00,0.0
358,2016-01-15 22:30:00,0.0
359,2016-01-15 23:30:00,0.0
360,2016-01-16 00:30:00,0.0
361,2016-01-16 01:30:00,0.0
362,2016-01-16 02:30:00,0.0
363,2016-01-16 03:30:00,0.0
364,2016-01-16 04:30:00,0.0
365,2016-01-16 05:30:00,0.0
366,2016-01-16 06:30:00,0.0
367,2016-01-16 07:30:00,0.0
368,2016-01-16 08:30:00,0.0
369,2016-01-16 09:30:00,1.0
370,2016-01-16 10:30:00,1.0
371,2016-01-16 11:30:00,0.0
372,2016-01-16 12:30:00,0.0
373,2016-01-16 13:30:00,0.0
374,2016-01-16 14:30:00,0.0
375,2016-01-16 15:30:00,0.0
376,2016-01-16 16:30:00,0.0
377,2016-01-16 17:30:00,0.0
378,2016-01-16 18:30:00,0.0
379,2016-01-16 19:30:00,0.0
380,2016-01-16 20:30:00,0.0
381,2016-01-16 21:30:00,0.0
382,2016-01-16 22:30:00,0.0
383,2016-01-16 23:30:00,0.0
384,2016-01-17 00:30:00,0.0
385,2016-01-17 01:30:00,0.0
386,2016-01-17 02:30:00,0.0
387,2016-01-17 03:30:00,0.0
388,2016-01-17 04:30:00,0.0
389,2016-01-17 05:30:00,0.0
390,2016-01-17 06:30:00,0.0
391,2016-01-17 07:30:00,0.0
392,2016-01-17 08:30:00,0.0
393,2016-01-17 09:30:00,1.0
394,2016-01-17 10:30:00,0.0
395,2016-01-17 11:30:00,0.0
396,2016-01-17 12:30:00,0.0
397,2016-01-17 13:30:00,0.0
398,2016-01-17 14:30:00,0.0
399,2016-01-17 15:30:00,0.0
400,2016-01-17 16:30:00,0.0
401,2016-01-17 17:30:00,0.0
402,2016-01-17 18:30:00,0.0
403,2016-01-17 19:30:00,0.0
404,2016-01-17 20:30:00,0.0
405,2016-01-17 21:30:00,0.0
406,2016-01-17 22:30:00,0.0
407,2016-01-17 23:30:00,0.0
408,2016-01-18 00:30:00,0.0
409,2016-01-18 01:30:00,0.0
410,2016-01-18 02:30:00,0.0
411,2016-01-18 03:30:00,0.0
412,2016-01-18 04:30:00,0.0
413,2016-01-18 05:30:00,0.0
414,2016-01-18 06:30:00,0.0
415,2016-01-18 07:30:00,0.0
416,2016-01-18 08:30:00,0.0
417,2016-01-18 09:30:00,1.0
418,2016-01-18 10:30:00,1.0
419,2016-01-18 11:30:00,1.0
420,2016-01-18 12:30:00,0.0
421,2016-01-18 13:30:00,0.0
422,2016-01-18 14:30:00,0.0
423,2016-01-18 15:30:00,0.0
424,2016-01-18 16:30:00,0.0
425,2016-01-18 17:30:00,0.0
426,2016-01-18 18:30:00,0.0
427,2016-01-18 19:30:00,0.0
428,2016-01-18 20:30:00,0.0
429,2016-01-18 21:30:00,0.0
430,2016-01-18 22:30:00,0.0
431,2016-01-18 23:30:00,0.0
432,2016-01-19 00:30:00,
433,2016-01-19 01:30:00,
434,2016-01-19 02:30:00,
435,2016-01-19 03:30:00,
436,2016-01-19 04:30:00,
437,2016-01-19 05:30:00,
438,2016-01-19 06:30:00,
439,2016-01-19 07:30:00,
440,2016-01-19 08:30:00,
441,2016-01-19 09:30:00,
442,2016-01-19 10:30:00,
443,2016-01-19 11:30:00,
444,2016-01-19 12:30:00,
445,2016-01-19 13:30:00,
446,2016-01-19 14:30:00,
447,2016-01-19 15:30:00,
448,2016-01-19 16:30:00,
449,2016-01-19 17:30:00,
450,2016-01-19 18:30:00,
451,2016-01-19 19:30:00,
452,2016-01-19 20:30:00,
453,2016-01-19 21:30:00,
454,2016-01-19 22:30:00,
455,2016-01-19 23:30:00,
456,2016-01-20 00:30:00,
457,2016-01-20 01:30:00,
458,2016-01-20 02:30:00,
459,2016-01-20 03:30:00,
460,2016-01-20 04:30:00,
461,2016-01-20 05:30:00,
462,2016-01-20 06:30:00,
463,2016-01-20 07:30:00,
464,2016-01-20 08:30:00,
465,2016-01-20 09:30:00,
466,2016-01-20 10:30:00,
467,2016-01-20 11:30:00,
468,2016-01-20 12:30:00,
469,2016-01-20 13:30:00,
470,2016-01-20 14:30:00,
471,2016-01-20 15:30:00,
472,2016-01-20 16:30:00,
473,2016-01-20 17:30:00,
474,2016-01-20 18:30:00,
475,2016-01-20 19:30:00,
476,2016-01-20 20:30:00,
477,2016-01-20 21:30:00,
478,2016-01-20 22:30:00,
479,2016-01-20 23:30:00,
480,2016-01-21 00:30:00,
481,2016-01-21 01:30:00,
482,2016-01-21 02:30:00,
483,2016-01-21 03:30:00,
484,2016-01-21 04:30:00,
485,2016-01-21 05:30:00,
486,2016-01-21 06:30:00,
487,2016-01-21 07:30:00,
488,2016-01-21 08:30:00,
489,2016-01-21 09:30:00,
490,2016-01-21 10:30:00,
491,2016-01-21 11:30:00,
492,2016-01-21 12:30:00,
493,2016-01-21 13:30:00,
494,2016-01-21 14:30:00,
495,2016-01-21 15:30:00,
496,2016-01-21 16:30:00,
497,2016-01-21 17:30:00,
498,2016-01-21 18:30:00,
499,2016-01-21 19:30:00,
500,2016-01-21 20:30:00,
501,2016-01-21 21:30:00,
502,2016-01-21 22:30:00,
503,2016-01-21 23:30:00,
504,2016-01-22 00:30:00,
505,2016-01-22 01:30:00,
506,2016-01-22 02:30:00,
507,2016-01-22 03:30:00,
508,2016-01-22 04:30:00,
509,2016-01-22 05:30:00,
510,2016-01-22 06:30:00,
511,2016-01-22 07:30:00,
512,2016-01-22 08:30:00,
513,2016-01-22 09:30:00,
514,2016-01-22 10:30:00,
515,2016-01-22 11:30:00,
516,2016-01-22 12:30:00,
517,2016-01-22 13:30:00,
518,2016-01-22 14:30:00,
519,2016-01-22 15:30:00,
520,2016-01-22 16:30:00,
521,2016-01-22 17:30:00,
522,2016-01-22 18:30:00,
523,2016-01-22 19:30:00,
524,2016-01-22 20:30:00,
525,2016-01-22 21:30:00,
526,2016-01-22 22:30:00,
527,2016-01-22 23:30:00,
528,2016-01-23 00:30:00,
529,2016-01-23 01:30:00,
530,2016-01-23 02:30:00,
531,2016-01-23 03:30:00,
532,2016-01-23 04:30:00,
533,2016-01-23 05:30:00,
534,2016-01-23 06:30:00,
535,2016-01-23 07:30:00,
536,2016-01-23 08:30:00,
537,2016-01-23 09:30:00,
538,2016-01-23 10:30:00,
539,2016-01-23 11:30:00,
540,2016-01-23 12:30:00,
541,2016-01-23 13:30:00,
542,2016-01-23 14:30:00,
543,2016-01-23 15:30:00,
544,2016-01-23 16:30:00,
545,2016-01-23 17:30:00,
546,2016-01-23 18:30:00,
547,2016-01-23 19:30:00,
548,2016-01-23 20:30:00,
549,2016-01-23 21:30:00,
550,2016-01-23 22:30:00,
551,2016-01-23 23:30:00,
552,2016-01-24 00:30:00,
553,2016-01-24 01:30:00,
554,2016-01-24 02:30:00,
555,2016-01-24 03:30:00,
556,2016-01-24 04:30:00,
557,2016-01-24 05:30:00,
558,2016-01-24 06:30:00,
559,2016-01-24 07:30:00,
560,2016-01-24 08:30:00,
561,2016-01-24 09:30:00,
562,2016-01-24 10:30:00,
563,2016-01-24 11:30:00,
564,2016-01-24 12:30:00,
565,2016-01-24 13:30:00,
566,2016-01-24 14:30:00,
567,2016-01-24 15:30:00,
568,2016-01-24 16:30:00,
569,2016-01-24 17:30:00,
570,2016-01-24 18:30:00,
571,2016-01-24 19:30:00,
572,2016-01-24 20:30:00,
573,2016-01-24 21:30:00,
574,2016-01-24 22:30:00,
575,2016-01-24 23:30:00,
576,2016-01-25 00:30:00,
577,2016-01-25 01:30:00,
578,2016-01-25 02:30:00,
579,2016-01-25 03:30:00,
580,2016-01-25 04:30:00,
581,2016-01-25 05:30:00,
582,2016-01-25 06:30:00,
583,2016-01-25 07:30:00,
584,2016-01-25 08:30:00,
585,2016-01-25 09:30:00,
586,2016-01-25 10:30:00,
587,2016-01-25 11:30:00,
588,2016-01-25 12:30:00,
589,2016-01-25 13:30:00,
